,Premiere,Other Barter,Cash,Misc.,Total Rev,Network,COGS Personnel,Dev and Support Tools,Webhosting,Other COGS,Total COGS,Gross Margin,GM %,Personnel,Benefits,Bonus,Recruiting,"Office, Insurance, and Misc Exp",Professional Fees,Travel,Company Meetings,Marketing and Trade Shows,Systems,OPEX,EBITDA,EBTIDA %
1/2025,995677.11,78982.3,384205.16,1125345.83,2584210.4,271210.93,483278.92,150032.76,98506.13,40914.9,1043943.64,1540266.76,0.5960299363,345123.51,137797.57,0,5575.39,49538.31,126457.42,3162.44,17415.08,50153.95,59143.54,794367.21,745899.55,0.2886373145
2/2025,1382244.93,75253.65,355771.04,700.31,1813969.93,362524.48,478412.61,149508.98,101001.27,37880.15,1129327.49,684642.44,0.3774276677,360599.45,191533.03,0,3293.99,67756.38,107123.78,11539.76,140245.18,54009.03,62220.74,998321.34,-313678.9,-0.1729239801
3/2025,1565246.25,80066.59,373442.67,11950.31,2030705.82,409918.44,469824.95,147494.02,115452.27,39203.55,1181893.23,848812.59,0.4179889483,360810.42,112599.76,0,3895.82,50995.55,92012.71,14418.38,58814.44,121418.73,53250.52,868216.33,-19403.74,-0.00955517033
4/2025,1323764.61,66031.45,382652.07,700.31,1773148.44,286588.49,421316.77,142157.04,104034.45,41001.15,995097.9,778050.54,0.4387960548,309511.82,121161.12,11180,4478.35,29362.23,103101.93,13866.5,7459.69,119576.59,49966.26,769664.49,8386.05,0.004729468673
5/2025,1601760.74,103463.41,367450.55,2765.02,2075439.72,347808.95,429609.02,153479.19,105571.3,42619.15,1079087.61,996352.11,0.4800679588,312544.35,67780.07,13889,2881.37,39257.96,61053.48,21008.51,3357.04,68461.33,66579.49,656812.6,339539.51,0.16359883
6/2025,1936066.25,89439.99,368106.57,700.31,2394313.12,415805.74,417962.28,146049.85,108281.72,43416.77,1131516.36,1262796.76,0.5274150442,309760.56,96401.67,0,2772.71,35159.04,62015.89,8057.35,0,79478.41,53455.76,647101.39,615695.37,0.2571490608
7/2025,1496919.07,75795.07,366336.51,-5299.84,1933750.81,325915.19,432134.74,147117.55,105853.85,43560.25,1054581.58,879169.23,0.454644531,315784.38,92713.76,11180,5565.99,31393,72023.37,2987.15,8130.52,48655.62,52658.72,641092.51,238076.72,0.1231165457
8/2025,2140148.19,92762.61,356207.53,1196.35,2590314.68,465913.69,434794.23,147476.5,105213.82,42514.05,1195912.29,1394402.39,0.5383138971,266482.09,64824.77,0,16568.29,36087.53,38404.25,6468.06,25402.08,51455.98,56129.87,561822.92,832579.47,0.3214202029
9/2025,1666386.28,53449.61,351365.7,687.53,2071889.12,358510.26,404705.94,144437.08,103983.62,38482.2,1050119.1,1021770.02,0.4931586397,287279.29,85482.69,0,2486.09,40441.17,42198.5,19956.63,0,61583.75,55226.09,594654.21,427115.81,0.2061480056
10/2025,1224493.03,100914.9,357027.25,687.53,1683122.71,278966.82,406441.03,149162.18,101539.27,35582.15,971691.45,711431.26,0.4226853192,305386.38,98624.87,11930,4791.39,31448.98,14054.17,30846.32,30.98,32267.61,58139.62,587520.32,123910.94,0.0736196709
11/2025,2062192.66,84045.54,383182,896.6,2530316.8,441747.94,406991.38,167332.3,101829.66,33249.3,1151150.58,1379166.22,0.5450567376,293513.11,79269.79,0,4438.08,37825.9,26982.92,33681.58,16861.81,38793.1,63354.94,594721.23,784444.99,0.3100184886
12/2025,1723283.35,71169.3,376673.07,-174512.9,1996612.82,371370.25,398734.35,154569.71,103273.05,33198.9,1061146.26,935466.56,0.4685267723,298276.88,109159.93,2750,9521.99,39696.62,11434.17,41720.86,22674.95,24185.47,54416.76,613837.63,321628.93,0.1610872808
1/2026,1,1,1,,3,0.72,1,1,1,1,4.72,-1.72,-0.5733333333,1,1,1,1,1,1,1,1,1,1,0,-1.72,-0.5733333333
2/2026,1,1,1,,3,0.72,1,1,1,1,4.72,-1.72,-0.5733333333,1,1,1,1,1,1,1,1,1,1,0,-1.72,-0.5733333333
3/2026,1,1,1,,3,0.72,1,1,1,1,4.72,-1.72,-0.5733333333,1,1,1,1,1,1,1,1,1,1,0,-1.72,-0.5733333333
4/2026,1,1,1,,3,0.72,1,1,1,1,4.72,-1.72,-0.5733333333,1,1,1,1,1,1,1,1,1,1,0,-1.72,-0.5733333333
5/2026,1,1,1,,3,0.72,1,1,1,1,4.72,-1.72,-0.5733333333,1,1,1,1,1,1,1,1,1,1,0,-1.72,-0.5733333333
6/2026,1,1,1,,3,0.72,1,1,1,1,4.72,-1.72,-0.5733333333,1,1,1,1,1,1,1,1,1,1,0,-1.72,-0.5733333333
7/2026,1,1,1,,3,0.72,1,1,1,1,4.72,-1.72,-0.5733333333,1,1,1,1,1,1,1,1,1,1,0,-1.72,-0.5733333333
8/2026,1,1,1,,3,0.72,1,1,1,1,4.72,-1.72,-0.5733333333,1,1,1,1,1,1,1,1,1,1,0,-1.72,-0.5733333333
9/2026,1,1,1,,3,0.72,1,1,1,1,4.72,-1.72,-0.5733333333,1,1,1,1,1,1,1,1,1,1,0,-1.72,-0.5733333333
10/2026,1,1,1,,3,0.72,1,1,1,1,4.72,-1.72,-0.5733333333,1,1,1,1,1,1,1,1,1,1,0,-1.72,-0.5733333333
11/2026,1,1,1,,3,0.72,1,1,1,1,4.72,-1.72,-0.5733333333,1,1,1,1,1,1,1,1,1,1,0,-1.72,-0.5733333333
12/2026,1,1,1,,3,0.72,1,1,1,1,4.72,-1.72,-0.5733333333,1,1,1,1,1,1,1,1,1,1,0,-1.72,-0.5733333333