,Premiere,Other Barter,Cash,Total Rev,Network,COGS Personnel,Dev and Support Tools,Webhosting,Other COGS,Total COGS,Gross Margin,GM %,Personnel,Benefits,Bonus,Recruiting,"Office, Insurance, and Misc Exp",Professional Fees,Travel,Company Meetings,Marketing and Trade Shows,Systems,OPEX,EBITDA,EBTIDA %
1/2026,1495929.999,92762.61,380673.63,1969366.239,376520.1483,402398.37,161768.94,101539.27,33636.9,1075863.628,893502.6105,0.4537005829,284491.67,95264.85,64041.66,5000,30450,15000,15000,0,34000,58616.69,601864.87,291637.7405,0.1480871027
2/2026,1522820.23,92762.61,380673.63,1996256.47,382893.1331,402398.37,173435.61,101539.27,33636.9,1093903.283,902353.1869,0.4520226737,293658.33,98362.88,64041.66,5000,30450,30000,15000,0,41500,58616.69,636629.56,265723.6269,0.1331109659
3/2026,2025310.98,92762.61,380673.63,2498747.22,501983.4408,444481.7,173435.61,101539.27,33636.9,1255076.921,1243670.299,0.4977175319,302825,101533.71,64041.66,5000,31250,25000,15000,20000,56500,55283.36,676433.73,567236.5692,0.2270083843
4/2026,1681121.41,92762.61,398756.96,2172640.98,420410.5127,441948.37,165985.69,94848.17,23234.9,1146427.643,1026213.337,0.4723345213,294000,101356.38,64041.66,5000,31250,25000,15000,0,101500,55283.36,692431.4,333781.9373,0.1536295874
5/2026,2008381.49,92762.61,398756.96,2499901.06,497971.1517,441948.37,165985.69,94848.17,23234.9,1223988.282,1275912.778,0.5103853103,294000,101356.38,64041.66,5000,31250,25000,15000,0,31500,55283.36,622431.4,653481.3783,0.2614028966
6/2026,1648353.32,92762.61,398756.96,2139872.89,412644.4754,441948.37,165985.69,86514.84,23234.9,1130328.275,1009544.615,0.4717778422,294000,101356.38,64041.66,5000,31250,25000,15000,20000,46500,55283.36,657431.4,352113.2146,0.1645486591
7/2026,1750347.9,92762.61,431777.8,2274888.31,436817.1909,441948.37,165985.69,86514.84,23234.9,1154500.991,1120387.319,0.4925021216,294000,101356.38,64041.66,5000,31250,15000,15000,0,36500,55283.36,617431.4,502955.9191,0.2210903792
8/2026,2165396.31,92762.61,431777.8,2689936.72,535183.664,441948.37,165985.69,86514.84,23234.9,1252867.464,1437069.256,0.5342390567,294000,101356.38,64041.66,5000,31250,15000,15000,0,106500,55283.36,687431.4,749637.856,0.2786823387
9/2026,1741518.97,92762.61,431777.8,2266059.38,434724.7345,441948.37,165985.69,86514.84,23234.9,1152408.534,1113650.846,0.4914482186,294000,101356.38,64041.66,5000,31250,10000,15000,20000,49956.41,55283.36,645887.81,467763.0355,0.2064213496
10/2026,1824299.19,92762.61,470694.46,2387756.26,454343.6466,441948.37,165985.69,86514.84,23234.9,1172027.447,1215728.813,0.5091511365,294000,101356.38,64041.66,5000,31250,10000,15000,0,36806.64,55283.36,612738.04,602990.7734,0.2525344749
11/2026,2246743.15,92762.61,470694.46,2810200.22,554462.8651,441948.37,165985.69,86514.84,23234.9,1272146.665,1538053.555,0.5473110222,294000,101356.38,64041.66,5000,31250,35000,15000,0,36500,54350,636498.04,901555.5149,0.3208154026
12/2026,1812226.81,92762.61,470694.46,2375683.88,451482.4925,441948.37,165985.69,86514.84,23234.9,1169166.293,1206517.587,0.5078611669,294000,101356.38,64041.66,5000,31250,20000,15000,20000,36500,54350,641498.04,565019.5475,0.237834483